player,score
"['agent_HungThom', 'agent_Ann', 'agent_Hieu_val', 'agent_MA']","[17, 16, 13, 10]"
"['agent_Hieu_val', 'agent_Ann', 'agent_HungThom', 'agent_NA']","[16, 14, 14, 14]"
"['agent_NhatMinh', 'agent_Hieu_val', 'agent_HungThom', 'agent_Ann']","[15, 14, 14, 12]"
"['agent_Hieu_val', 'agent_HungThom', 'agent_Phong', 'agent_Ann']","[18, 12, 11, 7]"
"['agent_HungThom', 'agent_Ann', 'agent_Hieu_val', 'agent_random']","[18, 12, 9, 5]"
"['agent_Ann', 'agent_Hieu_val', 'agent_HungThom', 'agent_Thu_Trang']","[15, 11, 8, 7]"
"['agent_Ann', 'agent_TongMinh', 'agent_Hieu_val', 'agent_HungThom']","[15, 13, 9, 9]"
"['agent_Ann', 'agent_Hieu_val', 'agent_xung', 'agent_HungThom']","[17, 10, 10, 8]"
"['agent_HungThom', 'agent_Hieu_val', 'agent_Ann', 'Dat']","[16, 12, 11, 2]"
"['agent_Hieu_val', 'agent_HungThom', 'agent_Ann', 'longlee']","[15, 10, 8, 5]"
"['agent_HungThom', 'agent_Hieu_val', 'agent_Ann', 'phi']","[15, 12, 10, 7]"
"['agent_Ann', 'Trang9PM_1905', 'agent_Hieu_val', 'agent_HungThom']","[19, 11, 10, 9]"
"['Trangold', 'agent_Ann', 'agent_Hieu_val', 'agent_HungThom']","[16, 11, 10, 8]"
"['agent_HungThom', 'agent_Ann', 'agent_Hieu_val', 'Viet_Anh']","[15, 11, 11, 5]"
"['agent_Ann', 'agent_MA', 'agent_Hieu_val', 'agent_Khanh']","[16, 12, 6, 3]"
"['agent_NA', 'agent_Ann', 'agent_Khanh', 'agent_Hieu_val']","[16, 11, 11, 6]"
"['agent_Ann', 'agent_Hieu_val', 'agent_NhatMinh', 'agent_Khanh']","[16, 9, 8, 4]"
"['agent_Ann', 'agent_Hieu_val', 'agent_Phong', 'agent_Khanh']","[17, 15, 10, 5]"
"['agent_Ann', 'agent_Hieu_val', 'agent_Khanh', 'agent_random']","[16, 14, 8, 3]"
"['agent_Thu_Trang', 'agent_Ann', 'agent_Hieu_val', 'agent_Khanh']","[15, 12, 11, 9]"
"['agent_Ann', 'agent_Hieu_val', 'agent_Khanh', 'agent_TongMinh']","[17, 9, 6, 2]"
"['agent_Hieu_val', 'agent_Ann', 'agent_xung', 'agent_Khanh']","[17, 10, 9, 7]"
"['agent_Hieu_val', 'agent_Khanh', 'agent_Ann', 'Dat']","[16, 9, 4, 3]"
"['agent_Ann', 'longlee', 'agent_Hieu_val', 'agent_Khanh']","[19, 8, 7, 2]"
"['agent_Ann', 'phi', 'agent_Hieu_val', 'agent_Khanh']","[17, 14, 11, 11]"
